friday_pt,last_docked_time_pt,minutes_between,true_departure_time_pt
2025-05-02 00:00:00-07:00,2025-05-02 23:57:53-07:00,,
2025-05-09 00:00:00-07:00,2025-05-09 18:09:54-07:00,4.9,2025-05-09 18:14:48-07:00
2025-05-16 00:00:00-07:00,2025-05-16 18:09:31-07:00,5.883333333333334,2025-05-16 18:15:24-07:00
2025-05-23 00:00:00-07:00,2025-05-23 18:13:47-07:00,5.7,2025-05-23 18:19:29-07:00
2025-05-30 00:00:00-07:00,2025-05-30 18:26:12-07:00,6.183333333333334,2025-05-30 18:32:23-07:00
2025-06-06 00:00:00-07:00,2025-06-06 18:47:51-07:00,4.533333333333333,2025-06-06 18:52:23-07:00
2025-06-13 00:00:00-07:00,2025-06-13 18:37:05-07:00,5.7,2025-06-13 18:42:47-07:00
2025-06-20 00:00:00-07:00,2025-06-20 18:06:34-07:00,9.383333333333333,2025-06-20 18:15:57-07:00
2025-06-27 00:00:00-07:00,2025-06-27 18:25:33-07:00,5.7,2025-06-27 18:31:15-07:00
2025-07-04 00:00:00-07:00,2025-07-04 18:27:17-07:00,11.066666666666666,2025-07-04 18:38:21-07:00
2025-07-11 00:00:00-07:00,2025-07-11 17:18:03-07:00,5.483333333333333,2025-07-11 17:23:32-07:00
2025-07-18 00:00:00-07:00,2025-07-18 18:09:30-07:00,8.85,2025-07-18 18:18:21-07:00
2025-07-25 00:00:00-07:00,2025-07-25 17:09:06-07:00,8.35,2025-07-25 17:17:27-07:00
2025-08-01 00:00:00-07:00,2025-08-01 18:12:03-07:00,6.433333333333334,2025-08-01 18:18:29-07:00
2025-08-08 00:00:00-07:00,2025-08-08 23:59:25-07:00,,
2025-08-15 00:00:00-07:00,2025-08-15 18:09:43-07:00,5.316666666666666,2025-08-15 18:15:02-07:00
2025-08-22 00:00:00-07:00,2025-08-22 16:12:27-07:00,6.2,2025-08-22 16:18:39-07:00
2025-08-29 00:00:00-07:00,2025-08-29 18:05:38-07:00,7.816666666666666,2025-08-29 18:13:27-07:00
2025-09-05 00:00:00-07:00,2025-09-05 16:02:17-07:00,8.966666666666667,2025-09-05 16:11:15-07:00
2025-09-12 00:00:00-07:00,2025-09-12 18:03:49-07:00,6.516666666666667,2025-09-12 18:10:20-07:00
2025-09-19 00:00:00-07:00,2025-09-19 16:58:18-07:00,5.916666666666667,2025-09-19 17:04:13-07:00
2025-09-26 00:00:00-07:00,2025-09-26 18:04:23-07:00,7.15,2025-09-26 18:11:32-07:00
